水位Z/m,下泄流量q/(m3·s)
36.0,0.0
36.1,4.2
36.2,8.4
36.3,12.8
36.4,17.5
36.5,22.5
36.6,27.9
36.7,33.8
36.8,40.2
36.9,47.2
37.0,55.0
37.1,63.5
37.2,72.8
37.3,82.9
37.4,93.6
37.5,105.0
37.6,117.1
37.7,129.9
37.8,143.6
37.9,158.2
38.0,173.9
38.1,190.7
38.2,208.5
38.3,227.2
38.4,246.8
38.5,267.2
38.6,288.3
38.7,310.0
38.8,332.2
38.9,355.0
39.0,378.3
39.1,402.0
39.2,426.2
39.3,450.9
39.4,476.1
39.5,501.9
39.6,528.3
39.7,555.3
39.8,582.7
39.9,610.6
40.0,638.9
40.1,667.5
40.2,696.5
40.3,725.9
40.4,755.8
40.5,786.1
40.6,816.9
40.7,848.3
40.8,880.2
40.9,912.8
41.0,946.0
41.1,979.9
