水位Z/m,库容V/万m3
36.0,4330.0
36.1,4425.0
36.2,4516.0
36.3,4608.0
36.4,4702.0
36.5,4800.0
36.6,4896.0
36.7,4995.0
36.8,5095.0
36.9,5198.0
37.0,5300.0
37.1,5408.0
37.2,5516.0
37.3,5625.0
37.4,5737.0
37.5,5870.0
37.6,5965.0
37.7,6082.0
37.8,6201.0
37.9,6322.0
38.0,6450.0
38.1,6570.0
38.2,6697.0
38.3,6826.0
38.4,6958.0
38.5,7080.0
38.6,7227.0
38.7,7365.0
38.8,7505.0
38.9,7647.0
39.0,7760.0
39.1,7939.0
39.2,8088.0
39.3,8240.0
39.4,8394.0
39.5,8540.0
39.6,8710.0
39.7,8871.0
39.8,9035.0
39.9,9202.0
40.0,9420.0
40.1,9543.0
40.2,9717.0
40.3,9894.0
40.4,10074.0
40.5,10250.0
40.6,10441.0
40.7,10629.0
40.8,10820.0
40.9,11013.0
41.0,11200.0
41.1,11409.0
