水位Z/m,库容V/万m3
36.0,4330.0
36.1,4425.0
36.2,4519.0
36.3,4613.0
36.4,4706.0
36.5,4800.0
36.6,4895.0
36.7,4992.0
36.8,5092.0
36.9,5194.0
37.0,5300.0
37.1,5410.0
37.2,5523.0
37.3,5638.0
37.4,5754.0
37.5,5870.0
37.6,5985.0
37.7,6100.0
37.8,6215.0
37.9,6331.0
38.0,6450.0
38.1,6571.0
38.2,6695.0
38.3,6822.0
38.4,6950.0
38.5,7080.0
38.6,7211.0
38.7,7344.0
38.8,7480.0
38.9,7618.0
39.0,7760.0
39.1,7906.0
39.2,8056.0
39.3,8212.0
39.4,8373.0
39.5,8540.0
39.6,8713.0
39.7,8890.0
39.8,9068.0
39.9,9246.0
40.0,9420.0
40.1,9589.0
40.2,9755.0
40.3,9918.0
40.4,10083.0
40.5,10250.0
40.6,10422.0
40.7,10601.0
40.8,10789.0
40.9,10988.0
41.0,11200.0
41.1,11428.0
