时间t/h,入库流量Q/(m³·s⁻¹),时段平均入库流量/(m³·s⁻¹),下泄流量q/(m³·s⁻¹),时段平均下泄流量/(m³·s⁻¹),时段内水库存水量变化ΔV/万m³,水库存水量V/万m³,水库水位Z/m
18,174,0.0,173.9,0.0,0.0,6450.0,38.0
21,340,257.0,173.9,173.9,89.74799999999999,6539.748,38.07122857142857
24,850,595.0,248.5,211.2,414.5040000000001,6954.2519999999995,38.4
27,1920,1385.0,248.5,248.5,1227.42,8181.672,39.270302564102565
30,1450,1685.0,445.13503589743635,346.8175179487182,1445.2370806153845,9626.909080615384,40.1246440244671
33,1110,1280.0,675.5699872177945,560.3525115576155,777.2192875177752,10404.128368133159,40.581120193754295
36,900,1005.0,812.058462001374,743.8142246095842,282.080637421649,10686.209005554807,40.72958368713411
39,760,830.0,859.5371961957806,835.7978290985773,-6.261655426463449,10679.947350128343,40.72628807901492
42,610,685.0,858.4858972057594,859.0115467007699,-187.93247043683155,10492.014879691511,40.62737625246922
45,460,535.0,826.8604007901495,842.6731489979545,-332.2870009177909,10159.72787877372,40.44561920408055
48,360,410.0,770.1120459996821,798.4862233949158,-419.56512126650915,9740.16275750721,40.192869131028445
51,290,325.0,695.6963936533904,732.9042198265363,-440.5365574126592,9299.626200094552,39.93160579550827
