时间t/h,入库流量Q/(m3·s?1),时段平均入库流量/(m3·s?1),下泄流量q/(m3·s?1),时段平均下泄流量/(m3·s?1),时段内水库存水量变化ΔV/万m3,水库存水量V/万m3,水库水位Z/m
18,174,0,173.9,0,0,6450,38
19,229,201.5,173.9,174 ,10 ,6460 ,38
20,285,257,175.4,175 ,30 ,6490 ,38
21,340,312.5,179.8,178 ,49 ,6538 ,38.1
22,510,425,187,183 ,87 ,6625 ,38.1
23,680,595,199.9,193 ,145 ,6770 ,38.3
24,850,765,221.2,211 ,200 ,6969 ,38.4
25,1207,1028.5,250.8,236 ,285 ,7255 ,38.6
26,1563,1385,295.7,273 ,400 ,7655 ,38.9
27,1920,1741.5,361.1,328 ,509 ,8164 ,39.3
28,1763,1841.5,442.3,402 ,518 ,8682 ,39.6
29,1607,1685,524,483 ,433 ,9115 ,39.8
30,1450,1528.5,591.3,558 ,350 ,9464 ,40
31,1337,1393.5,646.7,619 ,279 ,9743 ,40.2
32,1223,1280,696.2,671 ,219 ,9962 ,40.3
33,1110,1166.5,735,716 ,162 ,10124 ,40.4
34,1040,1075,763.8,749 ,117 ,10242 ,40.5
35,970,1005,784.6,774 ,83 ,10325 ,40.5
36,900,935,798.7,792 ,52 ,10376 ,40.6
37,853,876.5,807.4,803 ,27 ,10403 ,40.6
38,807,830,811.8,810 ,7 ,10410 ,40.6
39,760,783.5,813,812 ,-10 ,10400 ,40.6
40,710,735,811.3,812 ,-28 ,10372 ,40.6
41,660,685,806.6,809 ,-45 ,10327 ,40.5
42,610,635,799.1,803 ,-60 ,10267 ,40.5
43,560,585,788.9,794 ,-75 ,10192 ,40.5
44,510,535,775.7,782 ,-89 ,10103 ,40.4
45,460,485,760,768 ,-102 ,10001 ,40.3
46,427,443.5,741.9,751 ,-111 ,9890 ,40.3
47,393,410,722.2,732 ,-116 ,9774 ,40.2
48,360,376.5,701.7,712 ,-121 ,9653 ,40.1
49,337,348.5,680.3,691 ,-123 ,9530 ,40.1
50,313,325,658.4,669 ,-124 ,9406 ,40
51,290,301.5,636.7,648 ,-125 ,9281 ,39.9
