水位Z/m,下泄流量q/(m3·s)
36.0,0.0
36.1,0.0
36.2,0.0
36.3,0.0
36.4,0.0
36.5,22.5
36.6,26.9
36.7,32.2
36.8,38.5
36.9,46.0
37.0,55.0
37.1,62.6
37.2,71.2
37.3,81.1
37.4,92.3
37.5,105.0
37.6,116.1
37.7,128.5
37.8,142.1
37.9,157.2
38.0,173.9
38.1,189.5
38.2,206.5
38.3,225.0
38.4,245.2
38.5,267.2
38.6,286.4
38.7,307.1
38.8,329.2
38.9,352.9
39.0,378.3
39.1,400.3
39.2,423.6
39.3,448.2
39.4,474.3
39.5,501.9
39.6,526.7
39.7,552.8
39.8,580.1
39.9,608.8
40.0,638.9
40.1,666.0
40.2,694.1
40.3,723.5
40.4,754.2
40.5,786.1
40.6,815.8
40.7,846.5
40.8,878.5
40.9,911.6
41.0,946.0
41.1,981.7
