水位Z/m,下泄流量q/(m3·s)
36.0,0.0
36.1,0.0
36.2,0.0
36.3,22.5
36.4,22.5
36.5,22.5
36.6,22.5
36.7,22.5
36.8,55.0
36.9,55.0
37.0,55.0
37.1,55.0
37.2,55.0
37.3,105.0
37.4,105.0
37.5,105.0
37.6,105.0
37.7,105.0
37.8,173.9
37.9,173.9
38.0,173.9
38.1,173.9
38.2,173.9
38.3,267.2
38.4,267.2
38.5,267.2
38.6,267.2
38.7,267.2
38.8,378.3
38.9,378.3
39.0,378.3
39.1,378.3
39.2,378.3
39.3,501.9
39.4,501.9
39.5,501.9
39.6,501.9
39.7,501.9
39.8,638.9
39.9,638.9
40.0,638.9
40.1,638.9
40.2,638.9
40.3,786.1
40.4,786.1
40.5,786.1
40.6,786.1
40.7,786.1
40.8,946.0
40.9,946.0
41.0,946.0
41.1,946.0
