水位Z/m,下泄流量q/(m3·s)
36.0,0.0
36.1,5.0
36.2,6.7
36.3,9.3
36.4,12.8
36.5,22.5
36.6,22.3
36.7,28.4
36.8,35.2
36.9,42.9
37.0,55.0
37.1,60.7
37.2,70.8
37.3,81.7
37.4,93.3
37.5,105.0
37.6,118.9
37.7,132.9
37.8,147.5
37.9,162.9
38.0,173.9
38.1,195.8
38.2,213.3
38.3,231.5
38.4,250.4
38.5,267.2
38.6,290.1
38.7,311.0
38.8,332.5
38.9,354.6
39.0,378.3
39.1,400.7
39.2,424.6
39.3,449.1
39.4,474.3
39.5,501.9
39.6,526.2
39.7,553.0
39.8,580.4
39.9,608.2
40.0,638.9
40.1,665.6
40.2,695.0
40.3,724.9
40.4,755.3
40.5,786.1
40.6,817.5
40.7,849.3
40.8,881.6
40.9,914.2
41.0,946.0
41.1,980.9
