水位Z/m,库容V/万m3
36.0,4330.0
36.1,4424.0
36.2,4518.0
36.3,4612.0
36.4,4706.0
36.5,4800.0
36.6,4900.0
36.7,5000.0
36.8,5100.0
36.9,5200.0
37.0,5300.0
37.1,5414.0
37.2,5528.0
37.3,5642.0
37.4,5756.0
37.5,5870.0
37.6,5986.0
37.7,6102.0
37.8,6218.0
37.9,6334.0
38.0,6450.0
38.1,6576.0
38.2,6702.0
38.3,6828.0
38.4,6954.0
38.5,7080.0
38.6,7216.0
38.7,7352.0
38.8,7488.0
38.9,7624.0
39.0,7760.0
39.1,7916.0
39.2,8072.0
39.3,8228.0
39.4,8384.0
39.5,8540.0
39.6,8716.0
39.7,8892.0
39.8,9068.0
39.9,9244.0
40.0,9420.0
40.1,9586.0
40.2,9752.0
40.3,9918.0
40.4,10084.0
40.5,10250.0
40.6,10440.0
40.7,10630.0
40.8,10820.0
40.9,11010.0
41.0,11200.0
41.1,11390.0
