水位Z/m,库容V/万m3
36.0,4330.0
36.1,4420.0
36.2,4512.0
36.3,4606.0
36.4,4702.0
36.5,4800.0
36.6,4896.0
36.7,4994.0
36.8,5094.0
36.9,5196.0
37.0,5300.0
37.1,5409.0
37.2,5521.0
37.3,5635.0
37.4,5751.0
37.5,5870.0
37.6,5982.0
37.7,6095.0
37.8,6211.0
37.9,6330.0
38.0,6450.0
38.1,6571.0
38.2,6695.0
38.3,6821.0
38.4,6949.0
38.5,7080.0
38.6,7211.0
38.7,7345.0
38.8,7480.0
38.9,7619.0
39.0,7760.0
39.1,7910.0
39.2,8063.0
39.3,8219.0
39.4,8378.0
39.5,8540.0
39.6,8709.0
39.7,8882.0
39.8,9058.0
39.9,9237.0
40.0,9420.0
40.1,9580.0
40.2,9744.0
40.3,9910.0
40.4,10078.0
40.5,10250.0
40.6,10433.0
40.7,10620.0
40.8,10810.0
40.9,11003.0
41.0,11200.0
41.1,11400.0
